JoinField,JoinField_alt,Ward/Township,Precinct,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:8300003,COOK:Northfield Precinct 3,Northfield,3,190,120,310
COOK:8300004,COOK:Northfield Precinct 4,Northfield,4,115,83,198
COOK:8300005,COOK:Northfield Precinct 5,Northfield,5,95,48,143
COOK:8300006,COOK:Northfield Precinct 6,Northfield,6,133,110,243
COOK:8300007,COOK:Northfield Precinct 7,Northfield,7,201,147,348
COOK:8300008,COOK:Northfield Precinct 8,Northfield,8,166,127,293
COOK:8300009,COOK:Northfield Precinct 9,Northfield,9,121,77,198
COOK:8300010,COOK:Northfield Precinct 10,Northfield,10,114,78,192
COOK:8300011,COOK:Northfield Precinct 11,Northfield,11,146,125,271
COOK:8300012,COOK:Northfield Precinct 12,Northfield,12,222,199,421
COOK:8300013,COOK:Northfield Precinct 13,Northfield,13,117,66,183
COOK:8300014,COOK:Northfield Precinct 14,Northfield,14,144,64,208
COOK:8300015,COOK:Northfield Precinct 15,Northfield,15,258,164,422
COOK:8300016,COOK:Northfield Precinct 16,Northfield,16,136,105,241
COOK:8300017,COOK:Northfield Precinct 17,Northfield,17,149,125,274
COOK:8300018,COOK:Northfield Precinct 18,Northfield,18,192,110,302
COOK:8300019,COOK:Northfield Precinct 19,Northfield,19,167,125,292
COOK:8300020,COOK:Northfield Precinct 20,Northfield,20,132,114,246
COOK:8300021,COOK:Northfield Precinct 21,Northfield,21,184,179,363
COOK:8300022,COOK:Northfield Precinct 22,Northfield,22,142,101,243
COOK:8300023,COOK:Northfield Precinct 23,Northfield,23,86,86,172
COOK:8300024,COOK:Northfield Precinct 24,Northfield,24,138,101,239
COOK:8300025,COOK:Northfield Precinct 25,Northfield,25,127,69,196
COOK:8300026,COOK:Northfield Precinct 26,Northfield,26,160,63,223
COOK:8300027,COOK:Northfield Precinct 27,Northfield,27,133,65,198
COOK:8300028,COOK:Northfield Precinct 28,Northfield,28,243,137,380
COOK:8300029,COOK:Northfield Precinct 29,Northfield,29,128,69,197
COOK:8300030,COOK:Northfield Precinct 30,Northfield,30,152,140,292
COOK:8300031,COOK:Northfield Precinct 31,Northfield,31,140,115,255
COOK:8300032,COOK:Northfield Precinct 32,Northfield,32,174,98,272
COOK:8300033,COOK:Northfield Precinct 33,Northfield,33,51,40,91
COOK:8300034,COOK:Northfield Precinct 34,Northfield,34,108,88,196
COOK:8300035,COOK:Northfield Precinct 35,Northfield,35,121,93,214
COOK:8300036,COOK:Northfield Precinct 36,Northfield,36,125,70,195
COOK:8300037,COOK:Northfield Precinct 37,Northfield,37,210,139,349
COOK:8300038,COOK:Northfield Precinct 38,Northfield,38,113,75,188
COOK:8300039,COOK:Northfield Precinct 39,Northfield,39,70,49,119
COOK:8300040,COOK:Northfield Precinct 40,Northfield,40,85,46,131
COOK:8300041,COOK:Northfield Precinct 41,Northfield,41,136,106,242
COOK:8300042,COOK:Northfield Precinct 42,Northfield,42,122,84,206
COOK:8300043,COOK:Northfield Precinct 43,Northfield,43,153,73,226
COOK:8300044,COOK:Northfield Precinct 44,Northfield,44,125,70,195
COOK:8300045,COOK:Northfield Precinct 45,Northfield,45,94,77,171
COOK:8300046,COOK:Northfield Precinct 46,Northfield,46,153,99,252
COOK:8300047,COOK:Northfield Precinct 47,Northfield,47,234,142,376
COOK:8300048,COOK:Northfield Precinct 48,Northfield,48,110,89,199
COOK:8300049,COOK:Northfield Precinct 49,Northfield,49,80,65,145
COOK:8300050,COOK:Northfield Precinct 50,Northfield,50,134,86,220
COOK:8300051,COOK:Northfield Precinct 51,Northfield,51,370,234,604
COOK:8300052,COOK:Northfield Precinct 52,Northfield,52,158,114,272
COOK:8300053,COOK:Northfield Precinct 53,Northfield,53,144,115,259
COOK:8300054,COOK:Northfield Precinct 54,Northfield,54,220,159,379
COOK:8300055,COOK:Northfield Precinct 55,Northfield,55,177,99,276
COOK:8300056,COOK:Northfield Precinct 56,Northfield,56,196,96,292
COOK:8300057,COOK:Northfield Precinct 57,Northfield,57,93,67,160
COOK:8300058,COOK:Northfield Precinct 58,Northfield,58,55,42,97
COOK:8400001,COOK:Norwood Park Precinct 1,Norwood Park,1,94,71,165
COOK:8400002,COOK:Norwood Park Precinct 2,Norwood Park,2,83,69,152
COOK:8400003,COOK:Norwood Park Precinct 3,Norwood Park,3,111,101,212
COOK:8400004,COOK:Norwood Park Precinct 4,Norwood Park,4,67,48,115
COOK:8400005,COOK:Norwood Park Precinct 5,Norwood Park,5,125,92,217
COOK:8400006,COOK:Norwood Park Precinct 6,Norwood Park,6,95,74,169
COOK:8400007,COOK:Norwood Park Precinct 7,Norwood Park,7,66,45,111
COOK:8400008,COOK:Norwood Park Precinct 8,Norwood Park,8,29,34,63
COOK:8400009,COOK:Norwood Park Precinct 9,Norwood Park,9,90,81,171
COOK:8400010,COOK:Norwood Park Precinct 10,Norwood Park,10,36,56,92
COOK:8400011,COOK:Norwood Park Precinct 11,Norwood Park,11,153,98,251
COOK:8400012,COOK:Norwood Park Precinct 12,Norwood Park,12,82,65,147
COOK:8400013,COOK:Norwood Park Precinct 13,Norwood Park,13,74,45,119
COOK:8400014,COOK:Norwood Park Precinct 14,Norwood Park,14,62,70,132
COOK:8500001,COOK:Oak Park Precinct 1,Oak Park,1,524,155,679
COOK:8500002,COOK:Oak Park Precinct 2,Oak Park,2,405,178,583
COOK:8500003,COOK:Oak Park Precinct 3,Oak Park,3,474,137,611
COOK:8500004,COOK:Oak Park Precinct 4,Oak Park,4,321,177,498
COOK:8500005,COOK:Oak Park Precinct 5,Oak Park,5,337,128,465
COOK:8500006,COOK:Oak Park Precinct 6,Oak Park,6,345,92,437
COOK:8500007,COOK:Oak Park Precinct 7,Oak Park,7,460,111,571
COOK:8500008,COOK:Oak Park Precinct 8,Oak Park,8,368,73,441
COOK:8500009,COOK:Oak Park Precinct 9,Oak Park,9,458,117,575
COOK:8500010,COOK:Oak Park Precinct 10,Oak Park,10,364,106,470
COOK:8500011,COOK:Oak Park Precinct 11,Oak Park,11,305,65,370
COOK:8500012,COOK:Oak Park Precinct 12,Oak Park,12,152,47,199
COOK:8500013,COOK:Oak Park Precinct 13,Oak Park,13,332,73,405
COOK:8500014,COOK:Oak Park Precinct 14,Oak Park,14,323,161,484
COOK:8500015,COOK:Oak Park Precinct 15,Oak Park,15,420,99,519
COOK:8500016,COOK:Oak Park Precinct 16,Oak Park,16,508,164,672
COOK:8500017,COOK:Oak Park Precinct 17,Oak Park,17,488,145,633
COOK:8500018,COOK:Oak Park Precinct 18,Oak Park,18,256,117,373
COOK:8500019,COOK:Oak Park Precinct 19,Oak Park,19,325,107,432
COOK:8500020,COOK:Oak Park Precinct 20,Oak Park,20,417,137,554
COOK:8500021,COOK:Oak Park Precinct 21,Oak Park,21,275,81,356
COOK:8500022,COOK:Oak Park Precinct 22,Oak Park,22,390,95,485
COOK:8500023,COOK:Oak Park Precinct 23,Oak Park,23,308,101,409
COOK:8500024,COOK:Oak Park Precinct 24,Oak Park,24,247,80,327
COOK:8500025,COOK:Oak Park Precinct 25,Oak Park,25,373,94,467
COOK:8500026,COOK:Oak Park Precinct 26,Oak Park,26,437,105,542
COOK:8500027,COOK:Oak Park Precinct 27,Oak Park,27,530,165,695
COOK:8500028,COOK:Oak Park Precinct 28,Oak Park,28,400,120,520
COOK:8500029,COOK:Oak Park Precinct 29,Oak Park,29,332,96,428
COOK:8500030,COOK:Oak Park Precinct 30,Oak Park,30,284,61,345
COOK:8500031,COOK:Oak Park Precinct 31,Oak Park,31,554,130,684
COOK:8500032,COOK:Oak Park Precinct 32,Oak Park,32,411,83,494
COOK:8600001,COOK:Orland Precinct 1,Orland,1,162,83,245
COOK:8600002,COOK:Orland Precinct 2,Orland,2,81,86,167
COOK:8600003,COOK:Orland Precinct 3,Orland,3,113,63,176
COOK:8600004,COOK:Orland Precinct 4,Orland,4,143,95,238
COOK:8600005,COOK:Orland Precinct 5,Orland,5,93,68,161
COOK:8600006,COOK:Orland Precinct 6,Orland,6,88,69,157
COOK:8600007,COOK:Orland Precinct 7,Orland,7,83,67,150
COOK:8600008,COOK:Orland Precinct 8,Orland,8,91,87,178
COOK:8600009,COOK:Orland Precinct 9,Orland,9,147,78,225
COOK:8600010,COOK:Orland Precinct 10,Orland,10,80,67,147
COOK:8600011,COOK:Orland Precinct 11,Orland,11,77,60,137
COOK:8600012,COOK:Orland Precinct 12,Orland,12,28,15,43
COOK:8600013,COOK:Orland Precinct 13,Orland,13,120,85,205
COOK:8600014,COOK:Orland Precinct 14,Orland,14,68,64,132
COOK:8600015,COOK:Orland Precinct 15,Orland,15,98,68,166
COOK:8600016,COOK:Orland Precinct 16,Orland,16,84,74,158
COOK:8600017,COOK:Orland Precinct 17,Orland,17,58,41,99
COOK:8600018,COOK:Orland Precinct 18,Orland,18,73,109,182
COOK:8600019,COOK:Orland Precinct 19,Orland,19,60,43,103
COOK:8600020,COOK:Orland Precinct 20,Orland,20,116,79,195
COOK:8600021,COOK:Orland Precinct 21,Orland,21,92,84,176
COOK:8600022,COOK:Orland Precinct 22,Orland,22,101,86,187
COOK:8600023,COOK:Orland Precinct 23,Orland,23,121,115,236
COOK:8600024,COOK:Orland Precinct 24,Orland,24,125,98,223
COOK:8600025,COOK:Orland Precinct 25,Orland,25,114,93,207
COOK:8600026,COOK:Orland Precinct 26,Orland,26,127,92,219
COOK:8600027,COOK:Orland Precinct 27,Orland,27,92,63,155
COOK:8600028,COOK:Orland Precinct 28,Orland,28,63,52,115
COOK:8600029,COOK:Orland Precinct 29,Orland,29,152,93,245
COOK:8600030,COOK:Orland Precinct 30,Orland,30,53,41,94
COOK:8600031,COOK:Orland Precinct 31,Orland,31,55,35,90
COOK:8600032,COOK:Orland Precinct 32,Orland,32,116,94,210
COOK:8600033,COOK:Orland Precinct 33,Orland,33,116,98,214
COOK:8600034,COOK:Orland Precinct 34,Orland,34,78,53,131
COOK:8600035,COOK:Orland Precinct 35,Orland,35,147,105,252
COOK:8600036,COOK:Orland Precinct 36,Orland,36,46,44,90
COOK:8600037,COOK:Orland Precinct 37,Orland,37,80,71,151
COOK:8600038,COOK:Orland Precinct 38,Orland,38,35,19,54
COOK:8600039,COOK:Orland Precinct 39,Orland,39,58,47,105
COOK:8600040,COOK:Orland Precinct 40,Orland,40,83,61,144
COOK:8600041,COOK:Orland Precinct 41,Orland,41,47,56,103
COOK:8600042,COOK:Orland Precinct 42,Orland,42,119,113,232
COOK:8600043,COOK:Orland Precinct 43,Orland,43,51,44,95
COOK:8600044,COOK:Orland Precinct 44,Orland,44,74,51,125
COOK:8600045,COOK:Orland Precinct 45,Orland,45,100,122,222
COOK:8600046,COOK:Orland Precinct 46,Orland,46,50,43,93
COOK:8600047,COOK:Orland Precinct 47,Orland,47,110,73,183
COOK:8600048,COOK:Orland Precinct 48,Orland,48,74,60,134
COOK:8600049,COOK:Orland Precinct 49,Orland,49,106,93,199
COOK:8600050,COOK:Orland Precinct 50,Orland,50,48,53,101
COOK:8600051,COOK:Orland Precinct 51,Orland,51,65,116,181
COOK:8600052,COOK:Orland Precinct 52,Orland,52,71,55,126
COOK:8600053,COOK:Orland Precinct 53,Orland,53,69,74,143
COOK:8600054,COOK:Orland Precinct 54,Orland,54,75,69,144
COOK:8600055,COOK:Orland Precinct 55,Orland,55,66,49,115
COOK:8600056,COOK:Orland Precinct 56,Orland,56,49,58,107
COOK:8600057,COOK:Orland Precinct 57,Orland,57,61,74,135
COOK:8600058,COOK:Orland Precinct 58,Orland,58,61,58,119
COOK:8600059,COOK:Orland Precinct 59,Orland,59,94,57,151
COOK:8600060,COOK:Orland Precinct 60,Orland,60,63,53,116
COOK:8600061,COOK:Orland Precinct 61,Orland,61,64,69,133
COOK:8600062,COOK:Orland Precinct 62,Orland,62,71,70,141
COOK:8700001,COOK:Palatine Precinct 1,Palatine,1,104,44,148
COOK:8700002,COOK:Palatine Precinct 2,Palatine,2,163,98,261
COOK:8700003,COOK:Palatine Precinct 3,Palatine,3,65,40,105
COOK:8700004,COOK:Palatine Precinct 4,Palatine,4,58,28,86
COOK:8700005,COOK:Palatine Precinct 5,Palatine,5,161,102,263
COOK:8700006,COOK:Palatine Precinct 6,Palatine,6,174,64,238
COOK:8700007,COOK:Palatine Precinct 7,Palatine,7,77,41,118
COOK:8700008,COOK:Palatine Precinct 8,Palatine,8,168,73,241
COOK:8700009,COOK:Palatine Precinct 9,Palatine,9,109,37,146
COOK:8700010,COOK:Palatine Precinct 10,Palatine,10,104,49,153
COOK:8700011,COOK:Palatine Precinct 11,Palatine,11,64,58,122
COOK:8700012,COOK:Palatine Precinct 12,Palatine,12,100,71,171
COOK:8700013,COOK:Palatine Precinct 13,Palatine,13,83,59,142
COOK:8700014,COOK:Palatine Precinct 14,Palatine,14,115,60,175
COOK:8700015,COOK:Palatine Precinct 15,Palatine,15,142,60,202
COOK:8700016,COOK:Palatine Precinct 16,Palatine,16,60,24,84
COOK:8700017,COOK:Palatine Precinct 17,Palatine,17,153,50,203
COOK:8700018,COOK:Palatine Precinct 18,Palatine,18,203,67,270
COOK:8700019,COOK:Palatine Precinct 19,Palatine,19,116,72,188
COOK:8700020,COOK:Palatine Precinct 20,Palatine,20,56,18,74
COOK:8700021,COOK:Palatine Precinct 21,Palatine,21,137,96,233
COOK:8700022,COOK:Palatine Precinct 22,Palatine,22,116,51,167
COOK:8700023,COOK:Palatine Precinct 23,Palatine,23,48,44,92
COOK:8700024,COOK:Palatine Precinct 24,Palatine,24,141,79,220
COOK:8700025,COOK:Palatine Precinct 25,Palatine,25,135,70,205
COOK:8700026,COOK:Palatine Precinct 26,Palatine,26,139,91,230
COOK:8700027,COOK:Palatine Precinct 27,Palatine,27,172,57,229
COOK:8700028,COOK:Palatine Precinct 28,Palatine,28,66,49,115
COOK:8700029,COOK:Palatine Precinct 29,Palatine,29,145,87,232
COOK:8700030,COOK:Palatine Precinct 30,Palatine,30,85,45,130
COOK:8700031,COOK:Palatine Precinct 31,Palatine,31,95,46,141
COOK:8700032,COOK:Palatine Precinct 32,Palatine,32,98,52,150
COOK:8700033,COOK:Palatine Precinct 33,Palatine,33,50,22,72
COOK:8700034,COOK:Palatine Precinct 34,Palatine,34,123,67,190
COOK:8700035,COOK:Palatine Precinct 35,Palatine,35,139,86,225
COOK:8700036,COOK:Palatine Precinct 36,Palatine,36,119,54,173
COOK:8700037,COOK:Palatine Precinct 37,Palatine,37,138,64,202
COOK:8700038,COOK:Palatine Precinct 38,Palatine,38,177,73,250
COOK:8700039,COOK:Palatine Precinct 39,Palatine,39,141,80,221
COOK:8700040,COOK:Palatine Precinct 40,Palatine,40,162,60,222
COOK:8700041,COOK:Palatine Precinct 41,Palatine,41,147,77,224
COOK:8700042,COOK:Palatine Precinct 42,Palatine,42,154,98,252
COOK:8700043,COOK:Palatine Precinct 43,Palatine,43,110,51,161
COOK:8700044,COOK:Palatine Precinct 44,Palatine,44,88,54,142
COOK:8700045,COOK:Palatine Precinct 45,Palatine,45,113,47,160
COOK:8700046,COOK:Palatine Precinct 46,Palatine,46,145,66,211
COOK:8700047,COOK:Palatine Precinct 47,Palatine,47,120,80,200
COOK:8700048,COOK:Palatine Precinct 48,Palatine,48,105,60,165
COOK:8700049,COOK:Palatine Precinct 49,Palatine,49,63,34,97
COOK:8700050,COOK:Palatine Precinct 50,Palatine,50,144,85,229
COOK:8700051,COOK:Palatine Precinct 51,Palatine,51,54,31,85
COOK:8700052,COOK:Palatine Precinct 52,Palatine,52,88,80,168
COOK:8700053,COOK:Palatine Precinct 53,Palatine,53,103,46,149
COOK:8700054,COOK:Palatine Precinct 54,Palatine,54,170,99,269
COOK:8700055,COOK:Palatine Precinct 55,Palatine,55,129,96,225
COOK:8700056,COOK:Palatine Precinct 56,Palatine,56,109,62,171
COOK:8700057,COOK:Palatine Precinct 57,Palatine,57,186,80,266
COOK:8700058,COOK:Palatine Precinct 58,Palatine,58,99,50,149
COOK:8700059,COOK:Palatine Precinct 59,Palatine,59,186,99,285
COOK:8700060,COOK:Palatine Precinct 60,Palatine,60,110,46,156
COOK:8700061,COOK:Palatine Precinct 61,Palatine,61,60,31,91
COOK:8700062,COOK:Palatine Precinct 62,Palatine,62,126,51,177
COOK:8700063,COOK:Palatine Precinct 63,Palatine,63,128,56,184
COOK:8700064,COOK:Palatine Precinct 64,Palatine,64,86,45,131
COOK:8700065,COOK:Palatine Precinct 65,Palatine,65,122,53,175
COOK:8800001,COOK:Palos Precinct 1,Palos,1,44,44,88
COOK:8800002,COOK:Palos Precinct 2,Palos,2,59,40,99
COOK:8800003,COOK:Palos Precinct 3,Palos,3,67,63,130
COOK:8800004,COOK:Palos Precinct 4,Palos,4,58,39,97
COOK:8800005,COOK:Palos Precinct 5,Palos,5,56,43,99
COOK:8800006,COOK:Palos Precinct 6,Palos,6,23,17,40
COOK:8800007,COOK:Palos Precinct 7,Palos,7,69,75,144
COOK:8800008,COOK:Palos Precinct 8,Palos,8,106,56,162
COOK:8800009,COOK:Palos Precinct 9,Palos,9,92,127,219
COOK:8800010,COOK:Palos Precinct 10,Palos,10,99,86,185
COOK:8800011,COOK:Palos Precinct 11,Palos,11,46,83,129
COOK:8800012,COOK:Palos Precinct 12,Palos,12,50,69,119
COOK:8800013,COOK:Palos Precinct 13,Palos,13,109,75,184
COOK:8800014,COOK:Palos Precinct 14,Palos,14,60,48,108
COOK:8800015,COOK:Palos Precinct 15,Palos,15,138,162,300
COOK:8800016,COOK:Palos Precinct 16,Palos,16,99,119,218
COOK:8800017,COOK:Palos Precinct 17,Palos,17,81,65,146
COOK:8800018,COOK:Palos Precinct 18,Palos,18,85,67,152
COOK:8800019,COOK:Palos Precinct 19,Palos,19,101,67,168
COOK:8800020,COOK:Palos Precinct 20,Palos,20,90,61,151
COOK:8800021,COOK:Palos Precinct 21,Palos,21,65,34,99
COOK:8800022,COOK:Palos Precinct 22,Palos,22,29,23,52
COOK:8800023,COOK:Palos Precinct 23,Palos,23,62,41,103
COOK:8800024,COOK:Palos Precinct 24,Palos,24,122,166,288
COOK:8800025,COOK:Palos Precinct 25,Palos,25,110,29,139
COOK:8800026,COOK:Palos Precinct 26,Palos,26,47,35,82
COOK:8800027,COOK:Palos Precinct 27,Palos,27,91,68,159
COOK:8800028,COOK:Palos Precinct 28,Palos,28,62,18,80
COOK:8800029,COOK:Palos Precinct 29,Palos,29,84,64,148
COOK:8800030,COOK:Palos Precinct 30,Palos,30,92,95,187
COOK:8800031,COOK:Palos Precinct 31,Palos,31,83,52,135
COOK:8800032,COOK:Palos Precinct 32,Palos,32,40,16,56
COOK:8800033,COOK:Palos Precinct 33,Palos,33,77,75,152
COOK:8800034,COOK:Palos Precinct 34,Palos,34,44,36,80
COOK:8800035,COOK:Palos Precinct 35,Palos,35,125,69,194
COOK:8900001,COOK:Proviso Precinct 1,Proviso,1,124,50,174
COOK:8900002,COOK:Proviso Precinct 2,Proviso,2,102,36,138
COOK:8900003,COOK:Proviso Precinct 3,Proviso,3,186,63,249
COOK:8900004,COOK:Proviso Precinct 4,Proviso,4,162,34,196
COOK:8900005,COOK:Proviso Precinct 5,Proviso,5,153,83,236
COOK:8900006,COOK:Proviso Precinct 6,Proviso,6,179,96,275
COOK:8900007,COOK:Proviso Precinct 7,Proviso,7,53,27,80
COOK:8900008,COOK:Proviso Precinct 8,Proviso,8,181,68,249
COOK:8900009,COOK:Proviso Precinct 9,Proviso,9,148,29,177
COOK:8900010,COOK:Proviso Precinct 10,Proviso,10,47,49,96
COOK:8900011,COOK:Proviso Precinct 11,Proviso,11,63,63,126
COOK:8900012,COOK:Proviso Precinct 12,Proviso,12,103,89,192
COOK:8900013,COOK:Proviso Precinct 13,Proviso,13,127,56,183
COOK:8900014,COOK:Proviso Precinct 14,Proviso,14,56,28,84
COOK:8900015,COOK:Proviso Precinct 15,Proviso,15,52,60,112
COOK:8900016,COOK:Proviso Precinct 16,Proviso,16,125,50,175
COOK:8900017,COOK:Proviso Precinct 17,Proviso,17,135,228,363
COOK:8900018,COOK:Proviso Precinct 18,Proviso,18,217,59,276
COOK:8900019,COOK:Proviso Precinct 19,Proviso,19,217,39,256
COOK:8900020,COOK:Proviso Precinct 20,Proviso,20,224,62,286
COOK:8900021,COOK:Proviso Precinct 21,Proviso,21,190,86,276
COOK:8900022,COOK:Proviso Precinct 22,Proviso,22,130,33,163
COOK:8900023,COOK:Proviso Precinct 23,Proviso,23,176,131,307
COOK:8900024,COOK:Proviso Precinct 24,Proviso,24,192,138,330
COOK:8900025,COOK:Proviso Precinct 25,Proviso,25,171,93,264
COOK:8900026,COOK:Proviso Precinct 26,Proviso,26,182,114,296
COOK:8900027,COOK:Proviso Precinct 27,Proviso,27,173,77,250
COOK:8900028,COOK:Proviso Precinct 28,Proviso,28,162,89,251
COOK:8900029,COOK:Proviso Precinct 29,Proviso,29,226,97,323
COOK:8900030,COOK:Proviso Precinct 30,Proviso,30,148,50,198
COOK:8900031,COOK:Proviso Precinct 31,Proviso,31,79,22,101
COOK:8900032,COOK:Proviso Precinct 32,Proviso,32,266,128,394
COOK:8900033,COOK:Proviso Precinct 33,Proviso,33,249,59,308
COOK:8900034,COOK:Proviso Precinct 34,Proviso,34,340,77,417
COOK:8900035,COOK:Proviso Precinct 35,Proviso,35,180,109,289
COOK:8900036,COOK:Proviso Precinct 36,Proviso,36,182,58,240
COOK:8900037,COOK:Proviso Precinct 37,Proviso,37,134,26,160
COOK:8900038,COOK:Proviso Precinct 38,Proviso,38,196,36,232
COOK:8900039,COOK:Proviso Precinct 39,Proviso,39,223,66,289
COOK:8900040,COOK:Proviso Precinct 40,Proviso,40,311,67,378
COOK:8900041,COOK:Proviso Precinct 41,Proviso,41,122,35,157
COOK:8900042,COOK:Proviso Precinct 42,Proviso,42,158,118,276
COOK:8900043,COOK:Proviso Precinct 43,Proviso,43,121,27,148
COOK:8900044,COOK:Proviso Precinct 44,Proviso,44,192,31,223
COOK:8900045,COOK:Proviso Precinct 45,Proviso,45,217,52,269
COOK:8900046,COOK:Proviso Precinct 46,Proviso,46,22,29,51
COOK:8900047,COOK:Proviso Precinct 47,Proviso,47,148,42,190
COOK:8900048,COOK:Proviso Precinct 48,Proviso,48,198,62,260
COOK:8900049,COOK:Proviso Precinct 49,Proviso,49,128,38,166
COOK:8900050,COOK:Proviso Precinct 50,Proviso,50,276,74,350
COOK:8900051,COOK:Proviso Precinct 51,Proviso,51,153,76,229
COOK:8900052,COOK:Proviso Precinct 52,Proviso,52,95,34,129
COOK:8900053,COOK:Proviso Precinct 53,Proviso,53,160,33,193
COOK:8900054,COOK:Proviso Precinct 54,Proviso,54,164,73,237
COOK:8900055,COOK:Proviso Precinct 55,Proviso,55,173,103,276
COOK:8900056,COOK:Proviso Precinct 56,Proviso,56,190,44,234
COOK:8900057,COOK:Proviso Precinct 57,Proviso,57,121,62,183
COOK:8900058,COOK:Proviso Precinct 58,Proviso,58,145,37,182
COOK:8900059,COOK:Proviso Precinct 59,Proviso,59,125,38,163
COOK:8900060,COOK:Proviso Precinct 60,Proviso,60,120,38,158
COOK:8900061,COOK:Proviso Precinct 61,Proviso,61,232,71,303
COOK:8900062,COOK:Proviso Precinct 62,Proviso,62,258,94,352
COOK:8900063,COOK:Proviso Precinct 63,Proviso,63,197,107,304
COOK:8900064,COOK:Proviso Precinct 64,Proviso,64,167,42,209
COOK:8900065,COOK:Proviso Precinct 65,Proviso,65,158,41,199
COOK:8900066,COOK:Proviso Precinct 66,Proviso,66,290,104,394
COOK:8900067,COOK:Proviso Precinct 67,Proviso,67,299,108,407
COOK:8900068,COOK:Proviso Precinct 68,Proviso,68,113,62,175
COOK:8900069,COOK:Proviso Precinct 69,Proviso,69,123,34,157
COOK:8900070,COOK:Proviso Precinct 70,Proviso,70,145,88,233
COOK:8900071,COOK:Proviso Precinct 71,Proviso,71,253,97,350
COOK:8900072,COOK:Proviso Precinct 72,Proviso,72,182,62,244
COOK:8900073,COOK:Proviso Precinct 73,Proviso,73,282,106,388
COOK:8900074,COOK:Proviso Precinct 74,Proviso,74,190,92,282
COOK:8900075,COOK:Proviso Precinct 75,Proviso,75,153,90,243
COOK:8900076,COOK:Proviso Precinct 76,Proviso,76,225,69,294
COOK:8900077,COOK:Proviso Precinct 77,Proviso,77,118,42,160
COOK:8900078,COOK:Proviso Precinct 78,Proviso,78,120,64,184
COOK:8900079,COOK:Proviso Precinct 79,Proviso,79,188,36,224
COOK:8900080,COOK:Proviso Precinct 80,Proviso,80,66,41,107
COOK:8900081,COOK:Proviso Precinct 81,Proviso,81,126,56,182
COOK:8900082,COOK:Proviso Precinct 82,Proviso,82,270,70,340
COOK:8900083,COOK:Proviso Precinct 83,Proviso,83,333,73,406
COOK:8900084,COOK:Proviso Precinct 84,Proviso,84,104,68,172
COOK:8900085,COOK:Proviso Precinct 85,Proviso,85,196,80,276
COOK:8900086,COOK:Proviso Precinct 86,Proviso,86,264,63,327
COOK:8900087,COOK:Proviso Precinct 87,Proviso,87,83,113,196
COOK:8900088,COOK:Proviso Precinct 88,Proviso,88,245,103,348
COOK:8900089,COOK:Proviso Precinct 89,Proviso,89,106,48,154
COOK:9000001,COOK:Rich Precinct 1,Rich,1,821,185,1006
COOK:9000002,COOK:Rich Precinct 2,Rich,2,517,107,624
COOK:9000003,COOK:Rich Precinct 3,Rich,3,388,84,472
COOK:9000004,COOK:Rich Precinct 4,Rich,4,235,57,292
COOK:9000005,COOK:Rich Precinct 5,Rich,5,323,60,383
COOK:9000006,COOK:Rich Precinct 6,Rich,6,353,92,445
COOK:9000007,COOK:Rich Precinct 7,Rich,7,226,50,276
COOK:9000008,COOK:Rich Precinct 8,Rich,8,260,71,331
COOK:9000009,COOK:Rich Precinct 9,Rich,9,273,77,350
COOK:9000010,COOK:Rich Precinct 10,Rich,10,177,54,231
COOK:9000011,COOK:Rich Precinct 11,Rich,11,179,66,245
COOK:9000012,COOK:Rich Precinct 12,Rich,12,224,70,294
COOK:9000013,COOK:Rich Precinct 13,Rich,13,222,65,287
COOK:9000014,COOK:Rich Precinct 14,Rich,14,32,19,51
COOK:9000015,COOK:Rich Precinct 15,Rich,15,432,110,542
COOK:9000016,COOK:Rich Precinct 16,Rich,16,112,45,157
COOK:9000017,COOK:Rich Precinct 17,Rich,17,124,49,173
COOK:9000018,COOK:Rich Precinct 18,Rich,18,240,63,303
COOK:9000019,COOK:Rich Precinct 19,Rich,19,101,49,150
COOK:9000020,COOK:Rich Precinct 20,Rich,20,206,131,337
COOK:9000021,COOK:Rich Precinct 21,Rich,21,217,64,281
COOK:9000022,COOK:Rich Precinct 22,Rich,22,148,35,183
COOK:9000023,COOK:Rich Precinct 23,Rich,23,321,85,406
COOK:9000024,COOK:Rich Precinct 24,Rich,24,216,49,265
COOK:9000025,COOK:Rich Precinct 25,Rich,25,328,90,418
COOK:9000026,COOK:Rich Precinct 26,Rich,26,226,69,295
COOK:9000027,COOK:Rich Precinct 27,Rich,27,218,72,290
COOK:9000028,COOK:Rich Precinct 28,Rich,28,378,72,450
COOK:9000029,COOK:Rich Precinct 29,Rich,29,200,85,285
COOK:9000030,COOK:Rich Precinct 30,Rich,30,306,70,376
COOK:9000031,COOK:Rich Precinct 31,Rich,31,183,78,261
COOK:9000032,COOK:Rich Precinct 32,Rich,32,249,67,316
COOK:9000033,COOK:Rich Precinct 33,Rich,33,206,61,267
COOK:9000034,COOK:Rich Precinct 34,Rich,34,248,54,302
COOK:9000035,COOK:Rich Precinct 35,Rich,35,213,72,285
COOK:9000036,COOK:Rich Precinct 36,Rich,36,658,133,791
COOK:9000037,COOK:Rich Precinct 37,Rich,37,230,57,287
COOK:9000038,COOK:Rich Precinct 38,Rich,38,200,49,249
